client_id,first_name,last_name,date_of_birth,gender,country,region,satisfaction_score,loan_applied,age,region_encoded,country_encoded,client_type_Company,client_type_Individual,purpose_Home,purpose_Investment,channel_Agency,channel_Client,channel_Website,age_standard_scaled,satisfaction_standard_scaled,age_minmax_scaled,satisfaction_minmax_scaled,kmeans_cluster,hierarchical_cluster
C0001,Kareem,Liu,05-11-1968,FEMALE,USA,California,4,Yes,58,8,9,0,1,1,0,0,0,1,0.1386304219515967,0.6870888628228828,0.4714285714285713,0.75,1,1
C0002,Trystan,Oconnor,11/26/1962,MALE,USA,California,1,No,63,8,9,0,1,1,0,0,0,1,0.4268433574019015,-1.435739755579433,0.5428571428571429,0.0,2,0
C0003,Kale,Gay,04-07-1959,MALE,USA,California,4,Yes,67,8,9,0,1,1,0,1,0,0,0.6574137057621454,0.6870888628228828,0.5999999999999999,0.75,0,2
C0004,Russell,Gross,11/25/1959,MALE,USA,California,5,No,66,8,9,0,1,1,0,0,0,1,0.5997711186720844,1.3946984022903213,0.5857142857142856,1.0,0,1
C0005,Marleez,Co,2/28/1976,MALE,USA,California,5,No,50,8,9,1,0,0,1,0,0,1,-0.322510274768891,1.3946984022903213,0.3571428571428571,1.0,1,1
C0006,Yurem,Wright,03-06-1957,MALE,USA,California,3,Yes,69,8,9,0,1,1,0,0,0,1,0.7726988799422674,-0.0205206766445556,0.6285714285714286,0.5,0,2
C0007,Xavier,Faulkner,5/24/1947,MALE,Canada,Quebec,5,No,79,40,2,0,1,0,1,0,0,1,1.349124750842877,1.3946984022903213,0.7714285714285714,1.0,0,2
C0008,Kayden,Olsen,10/17/1969,FEMALE,USA,California,5,No,56,8,9,0,1,1,0,0,0,1,0.0233452477714747,1.3946984022903213,0.4428571428571428,1.0,1,1
C0009,Joaquin,Mullins,10-05-1975,MALE,USA,California,5,No,50,8,9,0,1,0,1,1,0,0,-0.322510274768891,1.3946984022903213,0.3571428571428571,1.0,1,1
C0010,Nicolas,Navarro,6/17/1966,MALE,USA,Oregon,3,No,60,37,9,0,1,0,1,1,0,0,0.2539155961317186,-0.0205206766445556,0.4999999999999999,0.5,0,1
C0011,Laci,Guerra,6/17/1956,FEMALE,USA,California,2,Yes,70,8,9,0,1,1,0,0,0,1,0.8303414670323284,-0.7281302161119941,0.6428571428571428,0.25,0,0
C0012,Kylax,Co,4/25/1975,MALE,USA,California,5,No,51,8,9,1,0,0,1,0,0,1,-0.26486768767883,1.3946984022903213,0.3714285714285714,1.0,1,1
C0013,Harley,Lucero,08-10-1962,MALE,USA,California,1,Yes,63,8,9,0,1,1,0,0,0,1,0.4268433574019015,-1.435739755579433,0.5428571428571429,0.0,2,0
C0014,Esther,Co,07-10-1980,MALE,USA,California,3,Yes,45,8,9,1,0,1,0,0,0,1,-0.610723210219196,-0.0205206766445556,0.2857142857142856,0.5,1,1
C0015,Jaylynn,Hickman,8/19/1941,FEMALE,USA,California,5,No,84,8,9,0,1,1,0,0,1,0,1.637337686293182,1.3946984022903213,0.8428571428571427,1.0,0,2
C0016,Olivia,Oconnell,09-03-1939,FEMALE,USA,California,5,No,86,8,9,0,1,0,1,0,0,1,1.7526228604733038,1.3946984022903213,0.8714285714285712,1.0,0,2
C0017,Antonio,Porter,01-08-1977,MALE,USA,Arizona,3,No,49,1,9,0,1,1,0,0,1,0,-0.380152861858952,-0.0205206766445556,0.3428571428571428,0.5,1,1
C0018,Luke,Lynn,02-07-1967,MALE,USA,California,2,Yes,59,8,9,0,1,1,0,1,0,0,0.1962730090416576,-0.7281302161119941,0.4857142857142857,0.25,2,0
C0019,Anahi,Curry,09-09-1957,MALE,USA,California,5,Yes,68,8,9,0,1,1,0,0,1,0,0.7150562928522064,1.3946984022903213,0.6142857142857143,1.0,0,2
C0020,Camille,Sharp,10/17/1967,FEMALE,USA,California,5,No,58,8,9,0,1,1,0,0,0,1,0.1386304219515967,1.3946984022903213,0.4714285714285713,1.0,1,1
C0021,Jesus,Obrien,06-09-1938,MALE,USA,Oregon,3,No,88,37,9,0,1,0,1,0,0,1,1.8679080346534256,-0.0205206766445556,0.8999999999999999,0.5,0,2
C0022,Araceli,Nelson,9/14/1966,MALE,Germany,Berlin,5,No,59,4,5,0,1,0,1,1,0,0,0.1962730090416576,1.3946984022903213,0.4857142857142857,1.0,1,1
C0023,Cole,Taylor,12-06-1958,MALE,USA,California,3,Yes,67,8,9,0,1,1,0,0,0,1,0.6574137057621454,-0.0205206766445556,0.5999999999999999,0.5,0,2
C0024,Alonso,Terrell,11-05-1963,MALE,USA,California,4,No,62,8,9,0,1,0,1,0,0,1,0.3692007703118405,0.6870888628228828,0.5285714285714285,0.75,0,2
C0025,Rodolfo,Gibson,1/20/1937,MALE,USA,Nevada,2,Yes,89,25,9,0,1,1,0,0,0,1,1.9255506217434868,-0.7281302161119941,0.914285714285714,0.25,0,0
C0026,Joseph,Reeves,9/23/1962,MALE,USA,California,5,No,63,8,9,0,1,0,1,0,0,1,0.4268433574019015,1.3946984022903213,0.5428571428571429,1.0,1,1
C0027,Grant,Weber,09-08-1968,MALE,USA,California,5,Yes,57,8,9,0,1,1,0,0,0,1,0.0809878348615357,1.3946984022903213,0.4571428571428571,1.0,1,1
C0028,Ava,Phelps,4/15/1958,FEMALE,USA,California,3,No,68,8,9,0,1,1,0,0,1,0,0.7150562928522064,-0.0205206766445556,0.6142857142857143,0.5,0,2
C0029,Kyla,Walker,2/26/1976,FEMALE,USA,Colorado,4,Yes,50,11,9,0,1,1,0,1,0,0,-0.322510274768891,0.6870888628228828,0.3571428571428571,0.75,1,1
C0030,Alanna,Hess,6/19/1952,FEMALE,USA,Nevada,3,No,74,25,9,0,1,1,0,0,0,1,1.0609118153925725,-0.0205206766445556,0.7,0.5,0,2
C0031,Skylar,Buchanan,12/25/1977,MALE,USA,Nevada,4,Yes,48,25,9,0,1,1,0,0,0,1,-0.437795448949013,0.6870888628228828,0.3285714285714285,0.75,1,1
C0032,Rodrigo,Robinson,08-11-1966,MALE,USA,California,4,No,59,8,9,0,1,1,0,0,0,1,0.1962730090416576,0.6870888628228828,0.4857142857142857,0.75,1,1
C0033,Lydia,Tate,8/14/1968,FEMALE,USA,California,3,Yes,57,8,9,0,1,1,0,0,0,1,0.0809878348615357,-0.0205206766445556,0.4571428571428571,0.5,0,1
C0034,Lauryn,Patrick,10/30/1969,FEMALE,Belgium,Brussels,2,No,56,7,1,0,1,1,0,1,0,0,0.0233452477714747,-0.7281302161119941,0.4428571428571428,0.25,2,0
C0035,Diego,Mendez,05-12-1965,MALE,Mexico,Mexico City,3,No,61,23,6,0,1,1,0,1,0,0,0.3115581832217796,-0.0205206766445556,0.5142857142857142,0.5,0,1
C0036,Victor,Jensen,09-01-1973,MALE,USA,California,4,No,52,8,9,0,1,1,0,0,0,1,-0.2072251005887691,0.6870888628228828,0.3857142857142857,0.75,1,1
C0037,Scarlet,Hendricks,1/20/1962,FEMALE,USA,California,5,Yes,64,8,9,0,1,1,0,0,0,1,0.4844859444919625,1.3946984022903213,0.5571428571428572,1.0,1,1
C0038,Janelle,Espinoza,12/25/1974,FEMALE,USA,California,4,No,51,8,9,0,1,0,1,0,1,0,-0.26486768767883,0.6870888628228828,0.3714285714285714,0.75,1,1
C0039,Aleksandra,Karenina,6/13/1967,FEMALE,Russia,Krasnodar Krai,1,No,59,21,7,0,1,1,0,1,0,0,0.1962730090416576,-1.435739755579433,0.4857142857142857,0.0,2,0
C0040,Conner,Huff,3/22/1975,MALE,USA,Nevada,5,No,51,25,9,0,1,1,0,0,0,1,-0.26486768767883,1.3946984022903213,0.3714285714285714,1.0,1,1
C0041,Zain,Horne,4/13/1967,MALE,USA,Arizona,1,Yes,59,1,9,0,1,1,0,0,0,1,0.1962730090416576,-1.435739755579433,0.4857142857142857,0.0,2,0
C0042,Maia,Chandler,08-12-1975,FEMALE,USA,Utah,1,Yes,50,48,9,0,1,1,0,0,0,1,-0.322510274768891,-1.435739755579433,0.3571428571428571,0.0,2,0
C0043,Jordyn,Park,04-04-1965,MALE,USA,Nevada,3,Yes,61,25,9,0,1,0,1,0,0,1,0.3115581832217796,-0.0205206766445556,0.5142857142857142,0.5,0,1
C0044,Diana,Hunt,2/13/1931,FEMALE,USA,Arizona,3,No,95,1,9,0,1,1,0,0,0,1,2.2714061442838527,-0.0205206766445556,1.0,0.5,0,2
C0045,Kevin,Mata,10-12-1968,MALE,USA,Colorado,2,No,57,11,9,0,1,0,1,1,0,0,0.0809878348615357,-0.7281302161119941,0.4571428571428571,0.25,2,0
C0046,Brisa,Mckee,9/24/1964,FEMALE,USA,California,5,No,61,8,9,0,1,1,0,0,1,0,0.3115581832217796,1.3946984022903213,0.5142857142857142,1.0,1,1
C0047,Mason,Gilbert,7/31/1970,MALE,USA,Colorado,2,No,55,11,9,0,1,1,0,1,0,0,-0.0342973393185862,-0.7281302161119941,0.4285714285714285,0.25,2,0
C0048,Derick,Li,3/20/1957,MALE,USA,California,3,Yes,69,8,9,0,1,1,0,1,0,0,0.7726988799422674,-0.0205206766445556,0.6285714285714286,0.5,0,2
C0049,Jace,Riggs,8/20/1971,FEMALE,USA,California,1,No,54,8,9,0,1,1,0,0,0,1,-0.0919399264086471,-1.435739755579433,0.4142857142857142,0.0,2,0
C0050,Jair,Johns,03-05-1940,MALE,USA,California,5,No,86,8,9,0,1,1,0,0,0,1,1.7526228604733038,1.3946984022903213,0.8714285714285712,1.0,0,2
C0051,Matilda,Madden,03-03-1941,FEMALE,USA,Colorado,3,No,85,11,9,0,1,1,0,1,0,0,1.6949802733832429,-0.0205206766445556,0.857142857142857,0.5,0,2
C0052,Myla,Ewing,02-03-1967,FEMALE,USA,Oregon,2,No,59,37,9,0,1,0,1,0,1,0,0.1962730090416576,-0.7281302161119941,0.4857142857142857,0.25,2,0
C0053,Miguel,Walter,01-07-1954,MALE,USA,Arizona,4,No,72,1,9,0,1,1,0,1,0,0,0.9456266412124504,0.6870888628228828,0.6714285714285713,0.75,0,2
C0054,Bridger CAL,Co,2/15/1967,MALE,USA,Nevada,5,No,59,25,9,1,0,0,1,0,0,1,0.1962730090416576,1.3946984022903213,0.4857142857142857,1.0,1,1
